kernel,C,gamma,mean_accuracy,mean_precision,mean_recall,mean_f1
rbf,10,0.01,0.679,0.68,0.676,0.674
rbf,10,0.02,0.697,0.686,0.685,0.685
rbf,10,0.04,0.694,0.684,0.681,0.682
rbf,10,0.08,0.702,0.693,0.687,0.688
rbf,10,0.16,0.7,0.691,0.684,0.686
rbf,10,0.32,0.7,0.692,0.684,0.686
rbf,10,0.64,0.706,0.701,0.688,0.691
rbf,10,1.0,0.71,0.71,0.69,0.693
rbf,20,0.01,0.696,0.685,0.685,0.685
rbf,20,0.02,0.694,0.684,0.681,0.682
rbf,20,0.04,0.7,0.69,0.685,0.686
rbf,20,0.08,0.698,0.689,0.683,0.685
rbf,20,0.16,0.695,0.687,0.68,0.681
rbf,20,0.32,0.699,0.692,0.684,0.685
rbf,20,0.64,0.705,0.7,0.688,0.69
rbf,20,1.0,0.712,0.711,0.691,0.694
rbf,40,0.01,0.697,0.686,0.684,0.685
rbf,40,0.02,0.696,0.686,0.681,0.683
rbf,40,0.04,0.695,0.686,0.681,0.682
rbf,40,0.08,0.691,0.682,0.677,0.678
rbf,40,0.16,0.69,0.681,0.675,0.677
rbf,40,0.32,0.7,0.692,0.685,0.686
rbf,40,0.64,0.707,0.701,0.689,0.691
rbf,40,1.0,0.712,0.712,0.691,0.694
rbf,80,0.01,0.696,0.686,0.682,0.683
rbf,80,0.02,0.695,0.686,0.681,0.682
rbf,80,0.04,0.687,0.678,0.672,0.674
rbf,80,0.08,0.682,0.674,0.668,0.67
rbf,80,0.16,0.692,0.683,0.677,0.678
rbf,80,0.32,0.703,0.695,0.688,0.689
rbf,80,0.64,0.705,0.699,0.687,0.689
rbf,80,1.0,0.712,0.711,0.691,0.694
rbf,160,0.01,0.697,0.688,0.683,0.684
rbf,160,0.02,0.687,0.679,0.673,0.675
rbf,160,0.04,0.677,0.669,0.664,0.665
rbf,160,0.08,0.674,0.667,0.661,0.662
rbf,160,0.16,0.689,0.68,0.674,0.676
rbf,160,0.32,0.702,0.693,0.687,0.689
rbf,160,0.64,0.705,0.699,0.687,0.689
rbf,160,1.0,0.711,0.71,0.69,0.693
rbf,320,0.01,0.686,0.678,0.672,0.673
rbf,320,0.02,0.675,0.667,0.662,0.663
rbf,320,0.04,0.668,0.66,0.655,0.656
rbf,320,0.08,0.674,0.666,0.66,0.662
rbf,320,0.16,0.688,0.68,0.674,0.676
rbf,320,0.32,0.702,0.693,0.687,0.689
rbf,320,0.64,0.704,0.698,0.687,0.689
rbf,320,1.0,0.71,0.71,0.689,0.692
rbf,640,0.01,0.673,0.665,0.66,0.661
rbf,640,0.02,0.665,0.657,0.652,0.653
rbf,640,0.04,0.664,0.656,0.651,0.652
rbf,640,0.08,0.671,0.664,0.657,0.659
rbf,640,0.16,0.686,0.677,0.671,0.673
rbf,640,0.32,0.702,0.693,0.687,0.688
rbf,640,0.64,0.703,0.698,0.686,0.688
rbf,640,1.0,0.71,0.71,0.689,0.692
rbf,1000,0.01,0.668,0.66,0.654,0.655
rbf,1000,0.02,0.664,0.656,0.651,0.652
rbf,1000,0.04,0.666,0.658,0.653,0.654
rbf,1000,0.08,0.672,0.665,0.658,0.66
rbf,1000,0.16,0.687,0.678,0.672,0.674
rbf,1000,0.32,0.7,0.691,0.685,0.687
rbf,1000,0.64,0.703,0.698,0.686,0.688
rbf,1000,1.0,0.71,0.71,0.689,0.692
